index,Hip,ra_hours,dec_degrees,flamsteed,bayer,const,name,magnitude,epoch_year
1782,70574,14.43562084,-45.22138996,,τ¹,Lup,,4.56,2000.25
1783,70576,14.43633376,-45.37926095,,τ²,Lup,,4.33,2000.25
1784,70602,14.44094674,19.2268349,22,,Boo,,5.4,2000.25
1785,70638,14.44881687,-83.66785308,,δ,Oct,,4.31,2000.25
1786,70680,14.45678457,-6.1201914,104,,Vir,,6.18,2000.25
1787,70692,14.45875625,75.69593921,5,,UMi,,4.25,2000.25
1788,70753,14.46956759,-29.49157976,52,,Hya,,4.97,2000.25
1789,70755,14.4700612,-2.22795009,105,φ,Vir,,4.81,2000.25
1790,70791,14.47724667,49.84496418,24,,Boo,,5.58,2000.25
1791,70794,14.47825852,-6.90041401,106,,Vir,,5.42,2000.25
1792,71053,14.53051606,30.37114497,25,ρ,Boo,,3.57,2000.25
1793,71075,14.53465494,38.30788348,27,γ,Boo,,3.04,2000.25
1794,71115,14.54239498,22.25996072,26,,Boo,,5.91,2000.25
1795,71121,14.54363429,-50.45712132,,σ,Lup,,4.44,2000.25
1796,71284,14.57796958,29.74480735,28,σ,Boo,,4.47,2000.25
1797,71352,14.5917921,-42.15774562,,ς,Cen,,2.33,2000.25
1798,71536,14.63145864,-49.42575765,,ρ,Lup,,4.05,2000.25
1799,71618,14.64730048,44.40454503,33,,Boo,,5.39,2000.25
1800,71681,14.66094188,-60.83947139,,α²,Cen,Rigel Kentaurus B,1.35,2000.25
1801,71683,14.66136068,-60.83514707,,α¹,Cen,Rigel Kentaurus A,-0.01,2000.25
1802,71762,14.67876693,16.4183013,29,π¹,Boo,,4.49,2000.25
1803,71795,14.68581121,13.72833113,30,ζ,Boo,,3.78,2000.25
1804,71832,14.69409903,8.16175611,31,,Boo,,4.86,2000.25
1805,71837,14.69544875,11.66093526,32,,Boo,,5.55,2000.25
1806,71860,14.69882606,-47.38814127,,α,Lup,,2.3,2000.25
1807,71908,14.70852362,-64.97456957,,α,Cir,,3.18,2000.25
1808,71957,14.71765618,-5.6574291,107,μ,Vir,,3.87,2000.25
1809,71974,14.72043489,-24.99773099,4,,Lib,,5.7,2000.25
1810,71995,14.72371441,26.52789077,34,,Boo,,4.8,2000.25
1811,72105,14.74979191,27.07417383,36,ε,Boo,Izar,2.35,2000.25
1812,72125,14.754027,16.96440296,35,ο,Boo,,4.6,2000.25
1813,72154,14.75839681,0.71729003,108,,Vir,,5.68,2000.25
1814,72194,14.76604998,-15.45954466,5,,Lib,,6.33,2000.25
1815,72197,14.76671605,-25.44291557,54,,Hya,,5.15,2000.25
1816,72220,14.77083106,1.8929383,109,,Vir,,3.73,2000.25
1817,72323,14.78959999,-25.62423321,55,,Hya,,5.61,2000.25
1818,72357,14.79577255,-26.0874799,56,,Hya,,5.23,2000.25
1819,72370,14.79770171,-79.04471242,,α,Aps,,3.83,2000.25
1820,72378,14.79932346,-26.64613329,57,,Hya,,5.76,2000.25
1821,72487,14.82185429,46.11639336,38,,Boo,,5.76,2000.25
1822,72489,14.82196971,-14.14898587,7,μ,Lib,,5.32,2000.25
1823,72524,14.82815597,48.72056284,39,,Boo,,5.68,2000.25
1824,72571,14.83818519,-27.96021925,58,,Hya,,4.42,2000.25
1825,72603,14.84479547,-15.99709226,8,α¹,Lib,,5.15,2000.25
1826,72607,14.84510983,74.15547596,7,β,UMi,Kochab,2.07,2000.25
1827,72622,14.84799369,-16.04161047,9,α²,Lib,,2.75,2000.25
1828,72631,14.85028336,-2.29884995,11,,Lib,,4.93,2000.25
1829,72659,14.85646783,19.10063329,37,ξ,Boo,,4.54,2000.25
1830,72683,14.86064536,-43.57529383,,ο,Lup,,4.32,2000.25
1831,72929,14.9055934,-24.64213517,12,,Lib,,5.27,2000.25
1832,72934,14.90636277,-11.89833043,13,ξ¹,Lib,,5.78,2000.25
1833,72965,14.91183075,-65.99106556,,ζ,Cir,,6.09,2000.25
1834,73129,14.9455562,-62.78098762,,θ,Cir,,5.08,2000.25
1835,73133,14.94614085,-11.4097279,15,ξ²,Lib,,5.48,2000.25
1836,73165,14.95307133,-4.34608634,16,,Lib,,4.47,2000.25
1837,73249,14.97039364,-11.15474025,17,,Lib,,6.61,2000.25
1838,73273,14.97554279,-43.13386699,,β,Lup,,2.68,2000.25
1839,73284,14.97757945,-27.65729301,59,,Hya,,5.65,2000.25
1840,73310,14.98156778,-11.14386422,18,,Lib,,5.88,2000.25
1841,73334,14.9860275,-42.10414199,,κ,Cen,,3.13,2000.25
1842,73369,14.99360305,39.26523166,40,,Boo,,5.64,2000.25
1843,73473,15.01621879,-8.51893488,19,δ,Lib,,4.91,2000.25
1844,73540,15.03075119,-83.22777573,,π¹,Oct,,5.65,2000.25
1845,73555,15.03244253,40.39063671,42,β,Boo,,3.49,2000.25
1846,73566,15.03510528,-28.06052808,60,,Hya,,5.83,2000.25
1847,73568,15.03514226,25.00825646,41,ω,Boo,,4.8,2000.25
1848,73620,15.04835277,2.09127129,110,,Vir,,4.39,2000.25
1849,73695,15.06324494,47.65401409,44,,Boo,,4.83,2000.25
1850,73714,15.06785052,-25.28185602,20,σ,Lib,,3.25,2000.25
1851,73745,15.07412697,26.94765981,43,ψ,Boo,,4.52,2000.25
1852,73771,15.07971197,-83.03826851,,π²,Oct,,5.65,2000.25
1853,73776,15.08001369,-64.03137307,,ς,Cir,,5.16,2000.25
1854,73807,15.08530713,-47.05119386,,π,Lup,,3.91,2000.25
1855,73841,15.09052544,48.15090031,47,,Boo,,5.59,2000.25
1856,73945,15.11044954,-16.25676124,21,ν,Lib,,5.19,2000.25
1857,73996,15.12165196,24.86959294,45,,Boo,,4.93,2000.25
1858,74087,15.13993898,26.30118271,46,,Boo,,5.67,2000.25
1859,74117,15.1473971,-45.27979406,,λ,Lup,,4.07,2000.25
1860,74296,15.18577604,-84.78782184,,ω,Oct,,5.88,2000.25
1861,74376,15.19893362,-48.73770212,,κ¹,Lup,,3.88,2000.25
1862,74380,15.19937917,-48.74357642,,κ²,Lup,,5.7,2000.25
1863,74392,15.20369782,-19.79163143,24,ι¹,Lib,,4.54,2000.25
1864,74395,15.20477865,-52.09907465,,ζ,Lup,,3.41,2000.25
1865,74493,15.22200509,-19.64745418,25,ι²,Lib,,6.07,2000.25
1866,74500,15.22470141,-25.30916439,23,,Lib,,6.47,2000.25
1867,74596,15.24144587,29.16422593,48,χ,Boo,,5.28,2000.25
1868,74600,15.24271312,-17.76853343,26,,Lib,,6.18,2000.25
1869,74604,15.24370163,-31.51912564,1,,Lup,,4.91,2000.25
1870,74649,15.25315736,4.93935226,3,,Ser,,5.32,2000.25
1871,74666,15.25836216,33.31510222,49,δ,Boo,,3.46,2000.25
1872,74689,15.26364996,0.37210753,4,,Ser,,5.62,2000.25
1873,74778,15.28247175,-60.95724479,,δ,Cir,,5.04,2000.25
1874,74785,15.28346439,-9.38286694,27,β,Lib,,2.61,2000.25
1875,74793,15.2849671,71.82387844,11,,UMi,,5.02,2000.25
1876,74824,15.29193339,-58.80087882,,β,Cir,,4.07,2000.25
1877,74837,15.2941355,-63.61048662,,ε,Cir,,4.85,2000.25
1878,74857,15.29717913,-30.14866233,2,,Lup,,4.35,2000.25
1879,74911,15.30890239,-47.87519201,,μ,Lup,,4.27,2000.25
1880,74946,15.31519133,-68.67946723,,γ,TrA,,2.87,2000.25
1881,74975,15.32182775,1.76665611,5,,Ser,,5.04,2000.25
1882,75049,15.33573276,29.61631109,1,ο,CrB,,5.51,2000.25
1883,75097,15.34548589,71.83397308,13,γ,UMi,,3.0,2000.25
1884,75110,15.34824495,-18.15851255,28,,Lib,,6.16,2000.25
1885,75118,15.35037788,-15.54838584,29,ο,Lib,,6.14,2000.25
1886,75119,15.35056133,0.71558981,6,,Ser,,5.35,2000.25
1887,75141,15.35620455,-40.64745946,,δ,Lup,,3.22,2000.25
1888,75177,15.36345457,-36.26116729,,φ¹,Lup,,3.57,2000.25
1889,75178,15.36350253,32.93366086,50,,Boo,,5.38,2000.25
1890,75181,15.36377039,-48.31695913,,ν²,Lup,,5.65,2000.25
1891,75206,15.36899835,-47.92746963,,ν¹,Lup,,4.99,2000.25
1892,75230,15.37312195,12.56753162,7,,Ser,,6.29,2000.25
1893,75264,15.37802431,-44.68957314,,ε,Lup,,3.37,2000.25
